Long,Lat,County,Price
-6.9341,52.8365,Carlow,175830
-7.3633,53.9897,Cavan,145972
-8.9811,52.9045,Clare,183185
-8.4756,51.8985,Cork,250108
-8.1041,54.6549,Donegal,127542
-6.2603,53.3498,Dublin,410441
-9.0568,53.2707,Galway,234936
-9.5669,52.1545,Kerry,185436
-6.9096,53.1589,Kildare,285893
-7.2448,52.6541,Kilkenny,201666
-7.3323,52.9943,Laois,175789
-8.002,54.1247,Leitrim,116242
-8.6267,52.6638,Limerick,193883
-7.7933,53.7276,Longford,123324
-6.5406,53.9508,Louth,213000
-9.4289,54.0153,Mayo,140590
-6.6564,53.6055,Meath,274174
-6.9683,54.2492,Monaghan,152966
-7.7122,53.2357,Offaly,159571
-8.1891,53.6276,Roscommon,125947
-8.4761,54.2766,Sligo,149115
-8.1619,52.4738,Tipperary,154813
-7.1101,52.2593,Waterford,187299
-7.4653,53.5345,Westmeath,180478
-6.4633,52.3369,Wexford,187883
-6.0446,52.9808,Wicklow,338158
